budget,revenue,popularity,runtime,vote_average,title,genres
148405005,335909384,1.5661,126,5.29,Movie 58,"[{""id"": 27, ""name"": ""Horror""}]"
69979792,113081858,47.1167,138,4.83,Movie 59,"[{""id"": 35, ""name"": ""Comedy""}]"
38709731,102988804,57.5451,175,3.15,Movie 60,"[{""id"": 53, ""name"": ""Thriller""}]"
162156967,307344308,31.099,141,3.02,Movie 61,"[{""id"": 28, ""name"": ""Action""}]"
24027075,44444432,32.4923,165,4.36,Movie 62,"[{""id"": 53, ""name"": ""Thriller""}]"
87191493,51047952,96.1548,97,5.44,Movie 63,"[{""id"": 12, ""name"": ""Adventure""}]"
88796277,263434796,89.2794,125,8.11,Movie 64,"[{""id"": 18, ""name"": ""Drama""}]"
138802430,87340331,2.3562,171,4.47,Movie 67,"[{""id"": 35, ""name"": ""Comedy""}]"
108944665,115672318,31.9074,118,5.04,Movie 69,"[{""id"": 16, ""name"": ""Animation""}]"
53631083,50950928,2.5585,128,5.99,Movie 70,"[{""id"": 16, ""name"": ""Animation""}]"
9585377,6914785,2.6978,172,5.63,Movie 71,"[{""id"": 18, ""name"": ""Drama""}]"
87544585,66382641,91.7437,161,4.31,Movie 72,"[{""id"": 10749, ""name"": ""Romance""}]"
86157821,169013794,70.9097,123,3.78,Movie 73,"[{""id"": 16, ""name"": ""Animation""}]"
153041741,339832195,31.5866,151,3.08,Movie 74,"[{""id"": 16, ""name"": ""Animation""}]"
171819422,256603281,14.1318,133,3.92,Movie 75,"[{""id"": 27, ""name"": ""Horror""}]"
61304654,104202138,51.6519,174,7.23,Movie 76,"[{""id"": 10749, ""name"": ""Romance""}]"
112636935,249481725,1.5293,113,4.46,Movie 77,"[{""id"": 878, ""name"": ""Science Fiction""}]"
35119117,19085465,93.903,150,5.81,Movie 78,"[{""id"": 53, ""name"": ""Thriller""}]"
37433622,48956688,42.0667,115,6.55,Movie 79,"[{""id"": 878, ""name"": ""Science Fiction""}]"
90482491,265362016,40.8312,97,8.32,Movie 80,"[{""id"": 10749, ""name"": ""Romance""}]"
195249720,380791736,39.6688,117,8.33,Movie 81,"[{""id"": 10749, ""name"": ""Romance""}]"
102670589,116588762,7.8635,138,7.47,Movie 82,"[{""id"": 18, ""name"": ""Drama""}]"
56105831,101233160,64.1939,88,3.21,Movie 83,"[{""id"": 18, ""name"": ""Drama""}]"
138584340,188008188,73.5674,152,6.45,Movie 84,"[{""id"": 878, ""name"": ""Science Fiction""}]"
59743503,109367201,67.9364,151,7.72,Movie 85,"[{""id"": 18, ""name"": ""Drama""}]"
92693393,75485214,14.7051,130,3.1,Movie 86,"[{""id"": 16, ""name"": ""Animation""}]"
171476398,142631775,58.3052,114,6.3,Movie 87,"[{""id"": 10749, ""name"": ""Romance""}]"
70739572,60755099,57.379,161,8.15,Movie 88,"[{""id"": 10749, ""name"": ""Romance""}]"
105157975,299652852,86.9727,84,5.84,Movie 89,"[{""id"": 27, ""name"": ""Horror""}]"
191066585,445614526,38.5336,93,3.02,Movie 90,"[{""id"": 18, ""name"": ""Drama""}]"
120208152,108903144,37.7771,171,3.07,Movie 91,"[{""id"": 16, ""name"": ""Animation""}]"
133862715,129963656,62.2342,109,5.5,Movie 92,"[{""id"": 16, ""name"": ""Animation""}]"
192273147,447433781,63.6742,83,3.93,Movie 93,"[{""id"": 35, ""name"": ""Comedy""}]"
184378299,164172209,47.4592,118,6.99,Movie 94,"[{""id"": 12, ""name"": ""Adventure""}]"
112665644,122400319,44.8629,163,7.25,Movie 95,"[{""id"": 10749, ""name"": ""Romance""}]"
69394024,201823295,49.9206,143,4.07,Movie 96,"[{""id"": 35, ""name"": ""Comedy""}]"
199743196,227360951,86.2435,104,8.33,Movie 97,"[{""id"": 35, ""name"": ""Comedy""}]"
52757120,155452980,94.0532,155,3.86,Movie 99,"[{""id"": 878, ""name"": ""Science Fiction""}]"
68157848,97857079,50.8964,145,7.59,Movie 100,"[{""id"": 16, ""name"": ""Animation""}]"
96540567,52497792,94.9709,157,7.74,Movie 101,"[{""id"": 10749, ""name"": ""Romance""}]"
86390464,95925226,83.4504,101,6.84,Movie 102,"[{""id"": 28, ""name"": ""Action""}]"
49170987,126723122,36.8807,110,8.12,Movie 103,"[{""id"": 53, ""name"": ""Thriller""}]"
187780295,499781403,86.5005,102,7.42,Movie 104,"[{""id"": 10749, ""name"": ""Romance""}]"
24717335,59848043,11.8963,127,8.29,Movie 105,"[{""id"": 878, ""name"": ""Science Fiction""}]"
61472382,48119016,92.5797,99,5.6,Movie 106,"[{""id"": 35, ""name"": ""Comedy""}]"
13719242,34144119,63.5327,117,7.49,Movie 107,"[{""id"": 12, ""name"": ""Adventure""}]"
49715250,139038365,6.3847,134,9,Movie 108,"[{""id"": 27, ""name"": ""Horror""}]"
84139152,168406519,64.7814,147,7.35,Movie 109,"[{""id"": 878, ""name"": ""Science Fiction""}]"
179271906,460208409,7.9103,167,6.11,Movie 111,"[{""id"": 27, ""name"": ""Horror""}]"
173552610,376162923,55.9141,168,6.52,Movie 112,"[{""id"": 35, ""name"": ""Comedy""}]"
92355424,179443180,75.0316,80,4.05,Movie 113,"[{""id"": 10749, ""name"": ""Romance""}]"
187659194,257362230,81.2156,86,8.78,Movie 114,"[{""id"": 10749, ""name"": ""Romance""}]"
50583876,45435378,41.9689,136,4.05,Movie 115,"[{""id"": 16, ""name"": ""Animation""}]"
198421286,399299981,21.2125,174,4.07,Movie 116,"[{""id"": 878, ""name"": ""Science Fiction""}]"
112999993,146366504,5.1919,91,8.49,Movie 117,"[{""id"": 16, ""name"": ""Animation""}]"
172625499,460236267,58.3929,84,5.79,Movie 118,"[{""id"": 878, ""name"": ""Science Fiction""}]"
162226952,483978535,45.8382,129,3.38,Movie 119,"[{""id"": 10749, ""name"": ""Romance""}]"
52327755,124596016,94.9257,121,6.59,Movie 120,"[{""id"": 878, ""name"": ""Science Fiction""}]"
80018913,58110073,6.9999,91,6.61,Movie 121,"[{""id"": 10749, ""name"": ""Romance""}]"
5545583,4285482,3.4717,145,8.84,Movie 123,"[{""id"": 18, ""name"": ""Drama""}]"
189296765,402497758,17.972,153,6.26,Movie 124,"[{""id"": 28, ""name"": ""Action""}]"
55474455,133858592,45.9043,158,6.36,Movie 125,"[{""id"": 18, ""name"": ""Drama""}]"
181844642,290120554,68.8844,96,6.66,Movie 127,"[{""id"": 12, ""name"": ""Adventure""}]"
124685547,343314063,91.1111,147,4.59,Movie 128,"[{""id"": 18, ""name"": ""Drama""}]"
54933927,148031985,64.2642,150,4.72,Movie 129,"[{""id"": 10749, ""name"": ""Romance""}]"
107179285,138581667,95.4,141,6.07,Movie 130,"[{""id"": 27, ""name"": ""Horror""}]"
53453338,142840766,88.2799,120,7.84,Movie 131,"[{""id"": 28, ""name"": ""Action""}]"
150099456,216020229,58.8655,174,3.3,Movie 132,"[{""id"": 35, ""name"": ""Comedy""}]"
35045666,43532786,83.5454,113,6.62,Movie 133,"[{""id"": 16, ""name"": ""Animation""}]"
147939822,314029884,64.6152,149,7.84,Movie 134,"[{""id"": 878, ""name"": ""Science Fiction""}]"
111573005,147382703,8.7772,124,3.94,Movie 135,"[{""id"": 28, ""name"": ""Action""}]"
157396162,326679176,74.3159,137,3.09,Movie 136,"[{""id"": 35, ""name"": ""Comedy""}]"
47321408,95805953,10.3959,130,4.88,Movie 137,"[{""id"": 35, ""name"": ""Comedy""}]"
148014660,282500383,59.8142,113,6.53,Movie 138,"[{""id"": 28, ""name"": ""Action""}]"
91053374,132122931,70.5614,123,3.83,Movie 139,"[{""id"": 18, ""name"": ""Drama""}]"
174660954,347787282,23.8487,157,6.31,Movie 141,"[{""id"": 53, ""name"": ""Thriller""}]"
98636744,183880316,91.6516,149,6.59,Movie 142,"[{""id"": 35, ""name"": ""Comedy""}]"
100483854,161884375,62.0151,129,4.65,Movie 143,"[{""id"": 12, ""name"": ""Adventure""}]"
110174313,59126988,25.3823,111,5.4,Movie 144,"[{""id"": 12, ""name"": ""Adventure""}]"
8887739,17487997,69.3773,146,7.67,Movie 145,"[{""id"": 16, ""name"": ""Animation""}]"
195954700,180496022,60.0809,82,8.65,Movie 146,"[{""id"": 27, ""name"": ""Horror""}]"
62071026,130748887,50.656,165,8.17,Movie 147,"[{""id"": 10749, ""name"": ""Romance""}]"
135987326,326146674,97.6425,165,6.39,Movie 148,"[{""id"": 35, ""name"": ""Comedy""}]"
90178975,157913600,68.6619,153,5.46,Movie 149,"[{""id"": 53, ""name"": ""Thriller""}]"
163651376,471102626,80.2073,146,3.75,Movie 151,"[{""id"": 27, ""name"": ""Horror""}]"
8971379,23486338,88.5737,155,3.64,Movie 152,"[{""id"": 12, ""name"": ""Adventure""}]"
4331068,12064585,13.3968,172,7.13,Movie 153,"[{""id"": 12, ""name"": ""Adventure""}]"
37810847,95828405,20.8547,127,4.56,Movie 154,"[{""id"": 28, ""name"": ""Action""}]"
35428803,27361517,22.4065,96,4.53,Movie 155,"[{""id"": 35, ""name"": ""Comedy""}]"
140871965,122907921,69.43,86,8.99,Movie 156,"[{""id"": 53, ""name"": ""Thriller""}]"
62553124,113631471,60.7009,92,4.13,Movie 157,"[{""id"": 878, ""name"": ""Science Fiction""}]"
181033766,201884175,62.2802,145,3.89,Movie 158,"[{""id"": 16, ""name"": ""Animation""}]"
152968492,258782715,94.1366,83,3.59,Movie 159,"[{""id"": 16, ""name"": ""Animation""}]"
172116174,255749713,77.8152,89,6.48,Movie 160,"[{""id"": 18, ""name"": ""Drama""}]"
24841962,46542300,13.6658,167,6.77,Movie 161,"[{""id"": 12, ""name"": ""Adventure""}]"
67834972,160578219,35.4032,96,5.19,Movie 162,"[{""id"": 18, ""name"": ""Drama""}]"
178374243,408249993,44.104,131,6.21,Movie 163,"[{""id"": 10749, ""name"": ""Romance""}]"
23993420,43262183,40.2002,85,7.73,Movie 164,"[{""id"": 878, ""name"": ""Science Fiction""}]"
63190751,161514519,67.2616,162,7.91,Movie 165,"[{""id"": 878, ""name"": ""Science Fiction""}]"
157188486,247910642,89.2974,148,8.75,Movie 166,"[{""id"": 16, ""name"": ""Animation""}]"
171731194,470850136,31.2991,175,7.95,Movie 167,"[{""id"": 53, ""name"": ""Thriller""}]"
156569237,451960599,79.1515,88,4.08,Movie 169,"[{""id"": 35, ""name"": ""Comedy""}]"
24484187,52316163,42.2056,170,3.6,Movie 170,"[{""id"": 27, ""name"": ""Horror""}]"
196995197,285679730,17.6437,156,3.33,Movie 171,"[{""id"": 12, ""name"": ""Adventure""}]"
37093880,36829968,48.0201,162,7,Movie 172,"[{""id"": 16, ""name"": ""Animation""}]"
185658932,315241082,6.467,100,7.85,Movie 173,"[{""id"": 18, ""name"": ""Drama""}]"
82752859,81627073,94.296,103,6.05,Movie 174,"[{""id"": 53, ""name"": ""Thriller""}]"
133888171,122618672,8.4073,83,3.33,Movie 175,"[{""id"": 18, ""name"": ""Drama""}]"
179283859,366344943,44.4072,103,6.21,Movie 176,"[{""id"": 53, ""name"": ""Thriller""}]"
36563453,79534288,98.5451,178,6.59,Movie 178,"[{""id"": 12, ""name"": ""Adventure""}]"
51873983,94963134,12.3287,147,7.8,Movie 180,"[{""id"": 53, ""name"": ""Thriller""}]"
91586459,178807003,1.8619,119,8.59,Movie 181,"[{""id"": 53, ""name"": ""Thriller""}]"
189110296,136928306,16.4016,127,7.62,Movie 182,"[{""id"": 16, ""name"": ""Animation""}]"
24637222,56519991,21.52,133,7.49,Movie 183,"[{""id"": 10749, ""name"": ""Romance""}]"
137702141,206520578,63.4275,114,4.4,Movie 184,"[{""id"": 18, ""name"": ""Drama""}]"
96057280,282582564,22.751,174,3.36,Movie 185,"[{""id"": 27, ""name"": ""Horror""}]"
174667704,446788640,3.0316,135,6.11,Movie 186,"[{""id"": 53, ""name"": ""Thriller""}]"
98453338,177826675,82.8352,168,3.75,Movie 187,"[{""id"": 12, ""name"": ""Adventure""}]"
3235000,2614063,37.194,119,8.77,Movie 188,"[{""id"": 53, ""name"": ""Thriller""}]"
24685747,65381175,36.016,156,4.74,Movie 189,"[{""id"": 28, ""name"": ""Action""}]"
173094412,432641302,30.9454,147,8.12,Movie 190,"[{""id"": 16, ""name"": ""Animation""}]"
30859174,29669948,97.562,125,5.33,Movie 191,"[{""id"": 878, ""name"": ""Science Fiction""}]"
171320581,212128410,17.8414,157,4.94,Movie 192,"[{""id"": 28, ""name"": ""Action""}]"
47159303,117120984,89.9256,92,8.61,Movie 193,"[{""id"": 28, ""name"": ""Action""}]"
147412954,141969158,77.9035,106,5.18,Movie 194,"[{""id"": 27, ""name"": ""Horror""}]"
183153864,511801718,8.5715,85,5.34,Movie 195,"[{""id"": 10749, ""name"": ""Romance""}]"
22200096,15930731,27.8652,115,7.02,Movie 197,"[{""id"": 878, ""name"": ""Science Fiction""}]"
84375337,214260335,10.7597,178,4.73,Movie 198,"[{""id"": 28, ""name"": ""Action""}]"
108868843,156093339,83.1021,160,6.51,Movie 199,"[{""id"": 878, ""name"": ""Science Fiction""}]"
24234510,44015879,70.9609,81,6.55,Movie 200,"[{""id"": 27, ""name"": ""Horror""}]"
186933626,145950458,62.1047,156,7.32,Movie 201,"[{""id"": 878, ""name"": ""Science Fiction""}]"
46968757,23787798,16.4421,131,7.47,Movie 202,"[{""id"": 878, ""name"": ""Science Fiction""}]"
135278815,283404114,48.3711,145,6.09,Movie 203,"[{""id"": 16, ""name"": ""Animation""}]"
67653416,134213987,31.0588,171,8.02,Movie 205,"[{""id"": 878, ""name"": ""Science Fiction""}]"
124850419,310173340,31.8573,122,4.86,Movie 206,"[{""id"": 878, ""name"": ""Science Fiction""}]"
148240432,138891442,18.2501,101,5.41,Movie 208,"[{""id"": 878, ""name"": ""Science Fiction""}]"
17816569,24977605,87.6652,134,8.13,Movie 209,"[{""id"": 16, ""name"": ""Animation""}]"
108147827,298999299,44.7329,146,5.59,Movie 210,"[{""id"": 18, ""name"": ""Drama""}]"
8654909,20986957,98.4392,178,5.32,Movie 211,"[{""id"": 53, ""name"": ""Thriller""}]"
38814054,73420379,40.1751,139,7.14,Movie 212,"[{""id"": 16, ""name"": ""Animation""}]"
107388866,122327999,71.8035,137,6.61,Movie 213,"[{""id"": 12, ""name"": ""Adventure""}]"
100157604,125712942,28.91,91,3.64,Movie 214,"[{""id"": 16, ""name"": ""Animation""}]"
150638768,350972537,37.0172,167,6.05,Movie 215,"[{""id"": 35, ""name"": ""Comedy""}]"
159428240,418967155,19.8819,148,7.41,Movie 216,"[{""id"": 35, ""name"": ""Comedy""}]"
73073914,159196028,35.3592,163,8.95,Movie 217,"[{""id"": 18, ""name"": ""Drama""}]"
168997441,426519956,55.1765,118,6.77,Movie 218,"[{""id"": 35, ""name"": ""Comedy""}]"
12506305,30223241,99.1855,92,5.22,Movie 219,"[{""id"": 53, ""name"": ""Thriller""}]"
155777819,136190303,66.756,120,4.36,Movie 220,"[{""id"": 53, ""name"": ""Thriller""}]"
142951830,222985132,20.7253,136,8.24,Movie 221,"[{""id"": 12, ""name"": ""Adventure""}]"
124035620,109456411,5.4512,132,7.89,Movie 222,"[{""id"": 53, ""name"": ""Thriller""}]"
140892447,153303516,13.5093,91,4.4,Movie 223,"[{""id"": 18, ""name"": ""Drama""}]"
143875872,384601652,56.693,92,4.2,Movie 224,"[{""id"": 53, ""name"": ""Thriller""}]"
41163712,69246827,76.7509,153,7.29,Movie 225,"[{""id"": 10749, ""name"": ""Romance""}]"
86447809,158925241,94.1015,176,4.89,Movie 226,"[{""id"": 53, ""name"": ""Thriller""}]"
133863028,126649807,2.5665,136,4.84,Movie 227,"[{""id"": 16, ""name"": ""Animation""}]"
45165849,57842975,52.7533,119,3.91,Movie 228,"[{""id"": 53, ""name"": ""Thriller""}]"
130693942,140576419,47.6159,159,4.58,Movie 229,"[{""id"": 53, ""name"": ""Thriller""}]"
79826934,81061490,65.9494,124,5.57,Movie 230,"[{""id"": 878, ""name"": ""Science Fiction""}]"
50905866,106642799,56.3983,114,7.4,Movie 231,"[{""id"": 28, ""name"": ""Action""}]"
175875390,200886562,69.0169,82,5.02,Movie 232,"[{""id"": 27, ""name"": ""Horror""}]"
141877636,295110975,66.1502,84,4.97,Movie 233,"[{""id"": 10749, ""name"": ""Romance""}]"
32378291,20920796,12.5842,169,4.71,Movie 234,"[{""id"": 28, ""name"": ""Action""}]"
198238369,169381995,80.1721,90,5.87,Movie 235,"[{""id"": 53, ""name"": ""Thriller""}]"
37634821,44648093,13.2,150,4.08,Movie 236,"[{""id"": 12, ""name"": ""Adventure""}]"
103325205,205887590,70.1545,135,5.91,Movie 237,"[{""id"": 10749, ""name"": ""Romance""}]"
154651082,338624490,42.1984,89,7.23,Movie 238,"[{""id"": 53, ""name"": ""Thriller""}]"
17887294,28741168,51.8712,113,3.18,Movie 239,"[{""id"": 12, ""name"": ""Adventure""}]"
120356143,194312259,90.4265,146,3.06,Movie 240,"[{""id"": 10749, ""name"": ""Romance""}]"
98935968,228669924,89.0985,151,3.45,Movie 241,"[{""id"": 10749, ""name"": ""Romance""}]"
111456008,60136393,81.9678,110,6.21,Movie 242,"[{""id"": 53, ""name"": ""Thriller""}]"
36562619,49459171,51.5047,154,8.13,Movie 243,"[{""id"": 35, ""name"": ""Comedy""}]"
36213498,92227364,73.8877,150,3.03,Movie 244,"[{""id"": 27, ""name"": ""Horror""}]"
36703247,73701901,51.7768,145,8.62,Movie 245,"[{""id"": 27, ""name"": ""Horror""}]"
176127900,236551716,87.091,149,3.64,Movie 246,"[{""id"": 18, ""name"": ""Drama""}]"
197962050,547129885,40.8748,120,8.05,Movie 247,"[{""id"": 53, ""name"": ""Thriller""}]"
122946771,298952059,97.0533,142,5.9,Movie 248,"[{""id"": 18, ""name"": ""Drama""}]"
58805563,68346096,93.3,111,6.96,Movie 249,"[{""id"": 53, ""name"": ""Thriller""}]"
141621731,299278524,74.4187,99,6.06,Movie 250,"[{""id"": 12, ""name"": ""Adventure""}]"
72244178,143720893,28.6622,136,5.86,Movie 251,"[{""id"": 12, ""name"": ""Adventure""}]"
102573977,154165588,14.0337,177,8.01,Movie 252,"[{""id"": 18, ""name"": ""Drama""}]"
52939266,75035596,85.6156,129,7.54,Movie 253,"[{""id"": 878, ""name"": ""Science Fiction""}]"
168485586,228955262,17.3649,159,5.9,Movie 254,"[{""id"": 878, ""name"": ""Science Fiction""}]"
156331731,319368445,85.5718,104,3.67,Movie 255,"[{""id"": 10749, ""name"": ""Romance""}]"
87641503,140754430,49.5857,91,3.69,Movie 256,"[{""id"": 18, ""name"": ""Drama""}]"
145639686,375700549,41.2491,150,7.81,Movie 257,"[{""id"": 53, ""name"": ""Thriller""}]"
13984808,30403064,90.4159,118,6.18,Movie 258,"[{""id"": 35, ""name"": ""Comedy""}]"
15764960,10638652,60.7812,96,5.89,Movie 259,"[{""id"": 18, ""name"": ""Drama""}]"
97946087,205727974,58.0848,124,7.08,Movie 260,"[{""id"": 10749, ""name"": ""Romance""}]"
51402943,60545912,56.3178,90,8.15,Movie 261,"[{""id"": 878, ""name"": ""Science Fiction""}]"
77241446,153094861,37.7458,149,6.77,Movie 262,"[{""id"": 878, ""name"": ""Science Fiction""}]"
54777024,58998852,26.027,170,7.59,Movie 264,"[{""id"": 53, ""name"": ""Thriller""}]"
93649393,91384216,89.5045,117,4.64,Movie 266,"[{""id"": 27, ""name"": ""Horror""}]"
179017694,112932809,34.4106,81,7.81,Movie 267,"[{""id"": 35, ""name"": ""Comedy""}]"
11047453,15976727,73.2169,165,5.26,Movie 268,"[{""id"": 53, ""name"": ""Thriller""}]"
35109026,104930389,34.4273,168,3.42,Movie 270,"[{""id"": 10749, ""name"": ""Romance""}]"
177308486,286509392,98.8636,158,3.35,Movie 271,"[{""id"": 878, ""name"": ""Science Fiction""}]"
151255355,201763129,3.4985,172,8.56,Movie 272,"[{""id"": 16, ""name"": ""Animation""}]"
21281689,41524565,26.012,151,6.89,Movie 273,"[{""id"": 27, ""name"": ""Horror""}]"
192849071,139221309,52.4873,116,5.28,Movie 274,"[{""id"": 53, ""name"": ""Thriller""}]"
72450611,210408480,52.6733,128,7.53,Movie 275,"[{""id"": 53, ""name"": ""Thriller""}]"
128348283,267914220,59.3044,131,7.03,Movie 276,"[{""id"": 878, ""name"": ""Science Fiction""}]"
47510960,113413153,75.4159,112,6.19,Movie 277,"[{""id"": 28, ""name"": ""Action""}]"
132437871,122663273,62.7243,101,3.59,Movie 278,"[{""id"": 27, ""name"": ""Horror""}]"
96415947,150092901,6.2979,97,8.2,Movie 280,"[{""id"": 12, ""name"": ""Adventure""}]"
35795514,44820736,27.2716,173,8.27,Movie 283,"[{""id"": 10749, ""name"": ""Romance""}]"
114944584,193936382,20.751,143,6.94,Movie 285,"[{""id"": 28, ""name"": ""Action""}]"
158666402,126865292,24.4714,158,4.69,Movie 287,"[{""id"": 16, ""name"": ""Animation""}]"
166165871,91402177,94.5219,127,8.17,Movie 289,"[{""id"": 53, ""name"": ""Thriller""}]"
147720975,346102941,61.3842,123,6.92,Movie 290,"[{""id"": 12, ""name"": ""Adventure""}]"
95962818,232373916,92.5277,161,6.07,Movie 291,"[{""id"": 53, ""name"": ""Thriller""}]"
52910807,115287151,59.4048,176,3.32,Movie 293,"[{""id"": 12, ""name"": ""Adventure""}]"
127736437,93544312,1.6371,95,5.67,Movie 294,"[{""id"": 53, ""name"": ""Thriller""}]"
129314487,147757081,77.4791,133,3.3,Movie 295,"[{""id"": 35, ""name"": ""Comedy""}]"
55847136,137928741,70.5463,114,6.42,Movie 296,"[{""id"": 16, ""name"": ""Animation""}]"
74150359,197367158,61.9101,177,5.3,Movie 297,"[{""id"": 28, ""name"": ""Action""}]"
93942922,166006169,51.7793,81,4.83,Movie 299,"[{""id"": 18, ""name"": ""Drama""}]"
158319111,142211732,70.7042,173,6.56,Movie 300,"[{""id"": 53, ""name"": ""Thriller""}]"
102164453,81131098,38.2047,120,3.03,Movie 302,"[{""id"": 16, ""name"": ""Animation""}]"
189928103,202917903,71.1041,159,3.43,Movie 303,"[{""id"": 18, ""name"": ""Drama""}]"
189673875,256853754,48.0931,138,4.74,Movie 304,"[{""id"": 16, ""name"": ""Animation""}]"
79110973,114890794,67.7656,148,8.29,Movie 305,"[{""id"": 10749, ""name"": ""Romance""}]"
40501026,55316480,76.5264,171,3.88,Movie 306,"[{""id"": 12, ""name"": ""Adventure""}]"
168381501,184821989,5.4998,132,7.27,Movie 307,"[{""id"": 16, ""name"": ""Animation""}]"
166363810,426426258,23.4474,99,7.74,Movie 309,"[{""id"": 878, ""name"": ""Science Fiction""}]"
156322520,187471164,67.3332,103,4.46,Movie 310,"[{""id"": 28, ""name"": ""Action""}]"
22739356,64942862,47.3647,140,8.45,Movie 311,"[{""id"": 27, ""name"": ""Horror""}]"
146689489,393618016,77.5817,170,3.56,Movie 312,"[{""id"": 12, ""name"": ""Adventure""}]"
154794431,139997713,13.2167,173,5.81,Movie 313,"[{""id"": 28, ""name"": ""Action""}]"
19877237,49011102,63.0059,137,8.33,Movie 314,"[{""id"": 53, ""name"": ""Thriller""}]"
47918818,92793279,28.5686,106,6.85,Movie 315,"[{""id"": 53, ""name"": ""Thriller""}]"
116797711,223835619,85.4452,105,5.48,Movie 316,"[{""id"": 27, ""name"": ""Horror""}]"
158922984,234825698,92.91,86,4.76,Movie 317,"[{""id"": 35, ""name"": ""Comedy""}]"
106996448,187552201,99.6434,121,5.25,Movie 318,"[{""id"": 35, ""name"": ""Comedy""}]"
78633091,117395032,79.8047,126,6.05,Movie 319,"[{""id"": 27, ""name"": ""Horror""}]"
56403796,104309319,75.6197,132,4.91,Movie 320,"[{""id"": 53, ""name"": ""Thriller""}]"
